Montpillard: 391.585911; 5231.512695!
Vouhenans: 719.649963; 5289.15!
Conde-sur-Vire: -114.699963; 5444.549889!
La Guesne: -236.96835; 5259.648864!
Valcourt: 544.700088; 5396.480673!
Cartigny: 334.403928; 5540.248539!
Menerbes: 577.762104; 4865.355885!
Reyrac: 451.025301; 4987.45644!
Elsenheim: 832.353813; 5345.807064!
Happe: 223.585857; 5619.001263!
Les Garrigues: 158.416536; 4954.570026!
Le Kermeur: -414.84363; 5379.855537!
Arreux: 516.27432; 5530.734285!
Saint-Nizier-d'Azergues: 495.592467; 5115.678867!
Couille: 174.934446; 5022.760767!
Sigoyer: 663.424023; 4937.052339!
Le Grolier: 234.0102; 5025.285018!
Couilly: 364.069233; 5315.202033!
Le Rastel: 570.472734; 4951.336596!
Laval-en Brie: 333.189366; 5375.028702!
Joue-sur-Erdre: -157.672614; 5272.051005!
Le Chauchix: -306.637833; 5359.144935!
Parcais Petit: 307.978047; 5155.654185!
Chalons: 548.364753; 5044.852098!
Ty-Douan: -370.925037; 5297.968284!
Viertot: 42.10785; 5515.601211!
Chassille: -12.776766; 5330.238204!
Taulignan: 552.74781; 4933.312083!
Vaux Donjon: 416.223582; 5273.782161!
Perrex: 552.714843; 5133.105534!
Saint-Martin-d'Auxy: 505.142463; 5186.395191!
Sainte-Austreberthe: 226.987341; 5590.481811!
Douzy: 559.612716; 5513.459133!
Lisores: 22.460073; 5434.662675!
Perret: 656.750037; 5085.650037!
Denting: 725.249358; 5460.547986!
Caucalieres: 256.263258; 4830.779496!
Erceville: 225.99489; 5354.758992!
Mealard: 432.9; 5087.499963!
Saint-Phal: 443.660562; 5341.467741!
La Bocca: 775.149963; 4834.05!
Rouvres-sous-Meilly: 507.984063; 5240.534997!
Boismorand: 301.782471; 5304.235233!
Saint-Ylie: 606.483132; 5224.901979!
Port-Mort: 157.077099; 5457.30057!
Cere-la-Ronde: 132.091998; 5245.995087!
Le Fenouiller: -211.09425; 5185.809999!
Bazillac: 10.991553; 4812.253818!
Cocures: 401.733309; 4922.431974!
